dataset,m,rep,classifier,accuracy
motivating,1,0,rf,0.6
motivating,1,0,1nn,0.8
motivating,1,0,linear_svm,0.5
motivating,1,0,rbf_svm,0.5666666666666667
motivating,1,1,rf,0.6
motivating,1,1,1nn,0.6666666666666666
motivating,1,1,linear_svm,0.6
motivating,1,1,rbf_svm,0.5666666666666667
motivating,1,2,rf,0.7666666666666667
motivating,1,2,1nn,0.8333333333333334
motivating,1,2,linear_svm,0.8
motivating,1,2,rbf_svm,0.8333333333333334
motivating,1,3,rf,0.4
motivating,1,3,1nn,0.7333333333333333
motivating,1,3,linear_svm,0.43333333333333335
motivating,1,3,rbf_svm,0.4
motivating,1,4,rf,0.6666666666666666
motivating,1,4,1nn,0.6333333333333333
motivating,1,4,linear_svm,0.7
motivating,1,4,rbf_svm,0.7
motivating,1,5,rf,0.6333333333333333
motivating,1,5,1nn,0.7333333333333333
motivating,1,5,linear_svm,0.6
motivating,1,5,rbf_svm,0.6333333333333333
motivating,1,6,rf,0.9333333333333333
motivating,1,6,1nn,0.9
motivating,1,6,linear_svm,0.6666666666666666
motivating,1,6,rbf_svm,0.6666666666666666
motivating,1,7,rf,0.7666666666666667
motivating,1,7,1nn,0.9333333333333333
motivating,1,7,linear_svm,0.7666666666666667
motivating,1,7,rbf_svm,0.7666666666666667
motivating,1,8,rf,0.6
motivating,1,8,1nn,0.7
motivating,1,8,linear_svm,0.5666666666666667
motivating,1,8,rbf_svm,0.5333333333333333
motivating,1,9,rf,0.4666666666666667
motivating,1,9,1nn,0.6333333333333333
motivating,1,9,linear_svm,0.6333333333333333
motivating,1,9,rbf_svm,0.6666666666666666
motivating,1,10,rf,0.7333333333333333
motivating,1,10,1nn,0.6666666666666666
motivating,1,10,linear_svm,0.7
motivating,1,10,rbf_svm,0.7333333333333333
motivating,1,11,rf,0.7333333333333333
motivating,1,11,1nn,0.8333333333333334
motivating,1,11,linear_svm,0.6
motivating,1,11,rbf_svm,0.7333333333333333
motivating,1,12,rf,0.7666666666666667
motivating,1,12,1nn,0.9
motivating,1,12,linear_svm,0.7666666666666667
motivating,1,12,rbf_svm,0.7666666666666667
motivating,1,13,rf,0.6666666666666666
motivating,1,13,1nn,0.8666666666666667
motivating,1,13,linear_svm,0.6333333333333333
motivating,1,13,rbf_svm,0.6333333333333333
motivating,1,14,rf,0.6333333333333333
motivating,1,14,1nn,0.7666666666666667
motivating,1,14,linear_svm,0.6666666666666666
motivating,1,14,rbf_svm,0.6666666666666666
motivating,1,15,rf,0.7666666666666667
motivating,1,15,1nn,0.6333333333333333
motivating,1,15,linear_svm,0.5
motivating,1,15,rbf_svm,0.7333333333333333
motivating,1,16,rf,0.6666666666666666
motivating,1,16,1nn,0.9333333333333333
motivating,1,16,linear_svm,0.7666666666666667
motivating,1,16,rbf_svm,0.8333333333333334
motivating,1,17,rf,0.6
motivating,1,17,1nn,0.7666666666666667
motivating,1,17,linear_svm,0.6333333333333333
motivating,1,17,rbf_svm,0.6333333333333333
motivating,1,18,rf,0.6333333333333333
motivating,1,18,1nn,0.8
motivating,1,18,linear_svm,0.6
motivating,1,18,rbf_svm,0.7666666666666667
motivating,1,19,rf,0.8
motivating,1,19,1nn,0.8
motivating,1,19,linear_svm,0.7666666666666667
motivating,1,19,rbf_svm,0.8
motivating,1,20,rf,0.6666666666666666
motivating,1,20,1nn,0.6666666666666666
motivating,1,20,linear_svm,0.7
motivating,1,20,rbf_svm,0.7333333333333333
motivating,1,21,rf,0.7333333333333333
motivating,1,21,1nn,0.7666666666666667
