dataset,metric,r_hat,rho_1,sv_ratio,mstar_95,precision,recall,f1,balanced_accuracy
motivating,sq_euclidean,1,0.5902506963387032,1.53212214918197,6,0.704225352112676,0.5,0.5847953216374269,0.645
motivating,euclidean,1,0.6525330078179963,1.5947799431596092,8,0.6774193548387096,0.42,0.5185185185185185,0.61
motivating,cosine,1,0.5902506755755202,1.5321221825310347,6,0.704225352112676,0.5,0.5847953216374269,0.645
motivating,l1,1,0.6503027031592196,1.5915508230233615,7,0.6774193548387096,0.42,0.5185185185185185,0.61
motivating,rbf,1,0.7073934715086003,1.631235148255091,9,0.6981132075471698,0.37,0.48366013071895425,0.605
system_prompt,sq_euclidean,1,0.7983655843332899,1.5598010292594948,14,0.5,0.17,0.2537313432835821,0.5
system_prompt,euclidean,1,0.9588554967075317,1.5822016674082675,72,0.0,0.0,0.0,0.465
system_prompt,cosine,1,0.7983655804114842,1.5598010527053423,14,0.5,0.17,0.2537313432835821,0.5
system_prompt,l1,1,0.9588496961941886,1.5795098225686561,72,0.0,0.0,0.0,0.465
system_prompt,rbf,1,0.6982386034216048,1.530459175114768,9,0.425,0.17,0.2428571428571429,0.47000000000000003
rag,sq_euclidean,2,0.4469906747769021,1.3344679726127904,6,0.8611111111111112,0.93,0.8942307692307692,0.89
rag,euclidean,2,0.44207622877949576,1.3291864127443502,5,0.8636363636363636,0.95,0.9047619047619048,0.8999999999999999
rag,cosine,2,0.4469906873300987,1.3344679966722433,6,0.8611111111111112,0.93,0.8942307692307692,0.89
rag,l1,2,0.44270612858049097,1.3294299940069576,5,0.8636363636363636,0.95,0.9047619047619048,0.8999999999999999
rag,rbf,2,0.44615373704648004,1.3793888349911387,5,0.8785046728971962,0.94,0.9082125603864735,0.905
