dataset,embed_model,r_hat,rho_1,sv_ratio,mstar_95,precision,recall,f1,balanced_accuracy,ari,ari_pvalue
motivating,nomic-embed-text-v1.5,1,0.5902506963387032,1.53212214918197,6,0.704225352112676,0.5,0.5847953216374269,0.645,0.07986506741328557,9.999000099990002e-05
motivating,all-MiniLM-L6-v2,1,0.7314899922061197,1.5136626604537338,10,0.782608695652174,0.36,0.4931506849315068,0.63,0.06426898567564132,9.999000099990002e-05
motivating,bge-large-en-v1.5,1,0.5362693328584139,1.4628032842773617,5,0.654320987654321,0.53,0.5856353591160222,0.625,0.057936911502498786,0.0004999500049995
motivating,text-embedding-3-small,1,0.6104894369057513,1.5844297180502123,7,0.7246376811594203,0.5,0.5917159763313609,0.655,0.0919755613563316,9.999000099990002e-05
system_prompt,nomic-embed-text-v1.5,1,0.8468806414910586,1.6666626196931482,19,0.14285714285714285,0.04,0.0625,0.4,0.03767106726630882,9.999000099990002e-05
system_prompt,all-MiniLM-L6-v2,1,0.7834806550068015,1.847883209611424,13,0.2,0.07,0.10370370370370371,0.395,0.041317894895992135,0.0005999400059994001
system_prompt,bge-large-en-v1.5,1,0.7912992542778389,1.7525677526487902,13,0.16666666666666666,0.05,0.07692307692307691,0.4,0.03753337699632223,0.00019998000199980003
system_prompt,text-embedding-3-small,1,0.7832475865000007,1.7145673829677581,13,0.15151515151515152,0.05,0.07518796992481203,0.385,0.05026986796097131,9.999000099990002e-05
rag,nomic-embed-text-v1.5,2,0.4469906747769021,1.3344679726127904,6,0.8611111111111112,0.93,0.8942307692307692,0.89,0.6064349435169772,9.999000099990002e-05
rag,all-MiniLM-L6-v2,2,0.446913425078972,1.4482506110680848,5,0.8715596330275229,0.95,0.9090909090909091,0.905,0.6543772704247958,9.999000099990002e-05
rag,bge-large-en-v1.5,2,0.4505899836175808,1.4975621311500134,5,0.8490566037735849,0.9,0.8737864077669903,0.87,0.5453234183620904,9.999000099990002e-05
rag,text-embedding-3-small,2,0.4368093122378525,1.3405660327126125,5,0.8558558558558559,0.95,0.9004739336492892,0.895,0.6222246014258724,9.999000099990002e-05
