n_train,m,selector,mean_error,std_error
20,2,uniform,0.35275,0.08920797329835489
20,5,uniform,0.321875,0.08369167745361542
20,10,uniform,0.301625,0.08024678731887028
20,20,uniform,0.25175000000000003,0.0884417180972871
20,50,uniform,0.18262500000000004,0.06294578520441221
20,100,uniform,0.16037500000000002,0.04779693374056541
20,2,uniform_signal,0.35162499999999997,0.08945416074727881
20,5,uniform_signal,0.30924999999999997,0.0801681825913498
20,10,uniform_signal,0.25500000000000006,0.08733913784781712
20,20,uniform_signal,0.21650000000000003,0.07169553682064178
20,50,uniform_signal,0.16687499999999997,0.056854391870813294
20,100,uniform_signal,0.147375,0.0364132101715847
20,2,stepwise,0.30462500000000003,0.0827770914867151
20,5,stepwise,0.26475000000000004,0.08324249215394743
20,10,stepwise,0.22174999999999995,0.08335953754670188
20,20,stepwise,0.17250000000000007,0.06339361166552983
20,50,stepwise,0.15000000000000002,0.04227883631321941
20,100,stepwise,0.14837499999999998,0.04692597228614448
20,2,backward,0.267125,0.08018835248962282
20,5,backward,0.2225,0.08003905296791061
20,10,backward,0.17887500000000006,0.06163640868025975
20,20,backward,0.150125,0.04281117698685706
20,50,backward,0.13349999999999998,0.036609425015970955
20,100,backward,0.138375,0.043238257076343864
20,2,bidirectional,0.30462500000000003,0.0827770914867151
20,5,bidirectional,0.266,0.08404016896698864
20,10,bidirectional,0.21862499999999996,0.07851144422948797
20,20,bidirectional,0.18862500000000001,0.06950932940979936
20,50,bidirectional,0.14887500000000004,0.04475960092538806
20,100,bidirectional,0.151,0.048755768889435024
80,2,uniform,0.2875,0.10871407452579449
80,5,uniform,0.251,0.11246777316191513
80,10,uniform,0.2165,0.09166651515138993
80,20,uniform,0.17149999999999999,0.0828417165442629
80,50,uniform,0.13100000000000003,0.07867019766086775
80,100,uniform,0.125,0.0653834841531101
80,2,uniform_signal,0.2975,0.1107643895843786
80,5,uniform_signal,0.24400000000000002,0.09494208761134337
80,10,uniform_signal,0.19949999999999996,0.0923295727272687
80,20,uniform_signal,0.16949999999999998,0.08857059331403398
80,50,uniform_signal,0.11700000000000003,0.07114070564732965
80,100,uniform_signal,0.11699999999999999,0.06213694553162393
80,2,stepwise,0.1285,0.08162566998193645
80,5,stepwise,0.1365,0.07136350607978843
80,10,stepwise,0.13449999999999998,0.06391204894227691
80,20,stepwise,0.1325,0.07562241731127087
80,50,stepwise,0.133,0.06790434448545984
80,100,stepwise,0.11950000000000001,0.07242064622743986
80,2,backward,0.11950000000000001,0.07742577090349183
80,5,backward,0.1365,0.06475144786026024
80,10,backward,0.11900000000000002,0.06195966429863867
80,20,backward,0.1155,0.06771078200700387
80,50,backward,0.1065,0.0642864682495469
80,100,backward,0.1075,0.06015604707757983
80,2,bidirectional,0.1285,0.08162566998193645
80,5,bidirectional,0.135,0.0687386354243376
80,10,bidirectional,0.138,0.07249827584156743
80,20,bidirectional,0.1295,0.06785830826066916
80,50,bidirectional,0.13849999999999998,0.07309411741036347
80,100,bidirectional,0.12300000000000003,0.06419501538281613
