pool_size,m_selected
10,2
10,2
10,6
10,2
10,2
10,2
10,1
10,2
10,3
10,0
10,1
10,2
10,2
10,2
10,0
10,2
10,2
10,3
10,2
10,2
10,2
10,2
10,2
10,0
10,1
20,2
20,5
20,7
20,6
20,2
20,2
20,2
20,4
20,2
20,2
20,2
20,4
20,8
20,4
20,2
20,3
20,4
20,3
20,4
20,1
20,2
20,1
20,1
20,3
20,4
50,4
50,11
50,6
50,6
50,9
50,27
50,6
50,7
50,4
50,3
50,4
50,6
50,27
50,3
50,5
50,8
50,3
50,5
50,26
50,2
50,6
50,7
50,27
50,3
50,6
100,3
100,25
100,5
100,27
100,11
100,27
100,27
100,26
100,26
100,27
100,26
100,28
100,25
100,25
100,27
100,25
100,27
100,25
100,25
100,4
100,26
100,7
100,6
100,8
100,27
200,27
200,26
200,28
200,28
200,25
200,26
200,27
200,26
200,26
200,27
200,28
200,29
200,27
200,25
200,25
200,25
200,28
200,27
200,27
200,26
200,25
200,25
200,25
200,26
200,27
