pool_size,m_selected,error_stepwise,error_uniform,error_random_m
10,2,0.14,0.18,0.25799999999999995
10,2,0.22,0.16,0.27599999999999997
10,6,0.16,0.24,0.246
10,2,0.46,0.22,0.33100000000000007
10,2,0.2,0.26,0.321
10,2,0.16,0.18,0.265
10,1,0.34,0.3,0.3370000000000001
10,2,0.26,0.14,0.251
10,3,0.36,0.22,0.358
10,0,0.5,0.5,0.5
10,1,0.24,0.32,0.31400000000000006
10,2,0.14,0.26,0.347
10,2,0.24,0.26,0.318
10,2,0.22,0.26,0.273
10,0,0.5,0.5,0.5
10,2,0.3,0.28,0.36600000000000005
10,2,0.28,0.26,0.312
10,3,0.26,0.22,0.298
10,2,0.22,0.22,0.28500000000000003
10,2,0.36,0.22,0.29800000000000004
10,2,0.1,0.08,0.236
10,2,0.24,0.38,0.326
10,2,0.16,0.28,0.331
10,0,0.5,0.5,0.5
10,1,0.24,0.2,0.319
10,0,0.5,0.5,0.5
10,2,0.2,0.38,0.319
10,3,0.18,0.22,0.28500000000000003
10,1,0.16,0.22,0.278
10,0,0.5,0.5,0.5
10,0,0.5,0.5,0.5
10,2,0.24,0.3,0.32399999999999995
10,2,0.22,0.14,0.22799999999999998
10,2,0.22,0.28,0.304
10,3,0.1,0.28,0.265
10,3,0.32,0.12,0.262
10,1,0.36,0.32,0.27399999999999997
10,2,0.24,0.2,0.32100000000000006
10,0,0.5,0.5,0.5
10,2,0.04,0.16,0.233
10,2,0.26,0.2,0.29100000000000004
10,0,0.5,0.5,0.5
10,2,0.12,0.24,0.41
10,1,0.4,0.24,0.313
10,2,0.3,0.16,0.27199999999999996
10,1,0.18,0.28,0.25100000000000006
10,2,0.3,0.24,0.316
10,4,0.38,0.14,0.329
10,2,0.28,0.2,0.29400000000000004
10,2,0.16,0.18,0.29700000000000004
50,4,0.14,0.14,0.263
50,11,0.3,0.2,0.28700000000000003
50,6,0.12,0.2,0.25500000000000006
50,6,0.18,0.12,0.28099999999999997
50,9,0.14,0.14,0.26000000000000006
50,27,0.1,0.08,0.197
50,6,0.22,0.16,0.2820000000000001
50,7,0.2,0.1,0.292
50,4,0.16,0.1,0.253
50,3,0.08,0.12,0.30400000000000005
50,4,0.14,0.22,0.31799999999999995
50,6,0.24,0.24,0.302
50,27,0.2,0.1,0.18700000000000003
50,3,0.18,0.18,0.37400000000000005
50,5,0.4,0.18,0.29200000000000004
50,8,0.22,0.12,0.23399999999999999
50,3,0.3,0.22,0.29900000000000004
50,5,0.12,0.1,0.2700000000000001
50,26,0.16,0.18,0.21000000000000002
50,2,0.14,0.2,0.30800000000000005
50,6,0.22,0.2,0.259
50,7,0.26,0.16,0.28700000000000003
50,27,0.18,0.08,0.144
50,3,0.16,0.12,0.289
50,6,0.18,0.06,0.256
50,8,0.26,0.24,0.29700000000000004
50,6,0.14,0.1,0.252
50,3,0.12,0.06,0.26
50,6,0.3,0.1,0.262
50,6,0.18,0.16,0.22800000000000004
50,3,0.26,0.1,0.30700000000000005
50,4,0.14,0.18,0.28
50,4,0.18,0.24,0.297
50,6,0.18,0.12,0.233
50,10,0.22,0.08,0.19500000000000006
50,2,0.04,0.06,0.257
50,27,0.2,0.14,0.215
50,5,0.34,0.14,0.30199999999999994
50,4,0.2,0.2,0.288
50,27,0.16,0.16,0.18800000000000003
