d_pca,m,selector,mean_error,std_error
2,2,pca_d2,0.13699999999999998,0.08474078120952154
2,5,pca_d2,0.14800000000000002,0.07547184905645282
2,10,pca_d2,0.158,0.07639371701913712
2,20,pca_d2,0.135,0.08440971508067066
2,50,pca_d2,0.12,0.07211102550927978
2,100,pca_d2,0.13399999999999998,0.06666333324999583
8,2,pca_d8,0.135,0.06576473218982952
8,5,pca_d8,0.14300000000000002,0.08000624975587846
8,10,pca_d8,0.15499999999999997,0.075
8,20,pca_d8,0.146,0.08175573374387879
8,50,pca_d8,0.129,0.08067837380611982
8,100,pca_d8,0.132,0.06305553108173778
32,2,pca_d32,0.157,0.09165696918401786
32,5,pca_d32,0.16,0.08944271909999159
32,10,pca_d32,0.146,0.09687104830649867
32,20,pca_d32,0.153,0.080876448982383
32,50,pca_d32,0.12200000000000001,0.06257795138864806
32,100,pca_d32,0.132,0.06982836100038436
128,2,pca_d128,0.237,0.10188719252192593
128,5,pca_d128,0.20099999999999998,0.07712976079309464
128,10,pca_d128,0.172,0.07011419257183242
128,20,pca_d128,0.14800000000000002,0.06705221845696084
128,50,pca_d128,0.127,0.07156116265125938
128,100,pca_d128,0.11399999999999999,0.06003332407921454
768,2,pca_d768,0.217,0.10373523991392701
768,5,pca_d768,0.225,0.09759610647971567
768,10,pca_d768,0.18000000000000005,0.07416198487095663
768,20,pca_d768,0.15100000000000002,0.06891298861608021
768,50,pca_d768,0.124,0.06651315659326357
768,100,pca_d768,0.117,0.06527633568147036
0,2,uniform,0.30400000000000005,0.10091580649234293
0,5,uniform,0.27199999999999996,0.11452510641776327
0,10,uniform,0.22399999999999998,0.10965400129498239
0,20,uniform,0.17000000000000004,0.0806225774829855
0,50,uniform,0.139,0.07892401408950257
0,100,uniform,0.129,0.06862215385719105
