selector,pool_size,n_train,mean_error,std_error,mean_m,std_m
stepwise,10,10,0.3813333333333334,0.11719857581404096,3.28,2.749836358767554
uniform_all,10,10,0.3808888888888889,0.12214219602325282,3.28,2.749836358767554
random_m,10,10,0.4041111111111111,0.08108629757438052,3.28,2.749836358767554
stepwise,10,20,0.3675,0.10647769719523427,2.04,1.777188791321845
uniform_all,10,20,0.3410000000000001,0.12260301790739084,2.04,1.777188791321845
random_m,10,20,0.3968,0.08097575254358554,2.04,1.777188791321845
stepwise,10,50,0.272,0.11523888232710347,1.88,1.142628548566856
uniform_all,10,50,0.2656,0.10469307522467758,1.88,1.142628548566856
random_m,10,50,0.32664000000000004,0.07254233522571492,1.88,1.142628548566856
stepwise,10,80,0.26,0.10295630140987,2.2,1.019803902718557
uniform_all,10,80,0.252,0.10906878563548786,2.2,1.019803902718557
random_m,10,80,0.29359999999999997,0.06783465191183632,2.2,1.019803902718557
stepwise,20,10,0.3906666666666666,0.09499473669630333,5.36,1.894835085172322
uniform_all,20,10,0.3128888888888889,0.13250408798725166,5.36,1.894835085172322
random_m,20,10,0.38800000000000007,0.052250819593075745,5.36,1.894835085172322
stepwise,20,20,0.26099999999999995,0.0881986394452885,8.2,4.586937976471886
uniform_all,20,20,0.2225,0.08993052874302473,8.2,4.586937976471886
random_m,20,20,0.313025,0.0622315936643117,8.2,4.586937976471886
stepwise,20,50,0.2304,0.04935422980859898,3.2,1.7888543819998317
uniform_all,20,50,0.1968,0.061365788514448336,3.2,1.7888543819998317
random_m,20,50,0.29900000000000004,0.03746251459792842,3.2,1.7888543819998317
stepwise,20,80,0.22,0.10488088481701516,3.36,1.2289833196589772
uniform_all,20,80,0.166,0.0796492310069595,3.36,1.2289833196589772
random_m,20,80,0.26799999999999996,0.04906628170138838,3.36,1.2289833196589772
stepwise,50,10,0.3244444444444444,0.09338622839755865,4.96,1.3705473359209452
uniform_all,50,10,0.2253333333333333,0.09632865553169113,4.96,1.3705473359209452
random_m,50,10,0.36955555555555564,0.03227964232518656,4.96,1.3705473359209452
stepwise,50,20,0.2505,0.06494998075442363,10.36,2.574956310308973
uniform_all,50,20,0.1925,0.057118298293979325,10.36,2.574956310308973
random_m,50,20,0.294125,0.033315255514553686,10.36,2.574956310308973
stepwise,50,50,0.18960000000000002,0.06976990755332846,8.84,8.068110063701411
uniform_all,50,50,0.14880000000000002,0.049985597925802594,8.84,8.068110063701411
random_m,50,50,0.26812,0.046320034542301464,8.84,8.068110063701411
stepwise,50,80,0.17200000000000004,0.09282241108697835,5.2,1.7204650534085253
uniform_all,50,80,0.158,0.0611228271597445,5.2,1.7204650534085253
random_m,50,80,0.2696,0.040022993391299465,5.2,1.7204650534085253
stepwise,100,10,0.3653333333333333,0.11349966008542128,4.6,1.2
uniform_all,100,10,0.2142222222222222,0.09208262526960886,4.6,1.2
random_m,100,10,0.36935555555555555,0.027293864910056163,4.6,1.2
stepwise,100,20,0.24799999999999997,0.11925183436744274,10.8,1.2
uniform_all,100,20,0.16700000000000004,0.05521322305390258,10.8,1.2
random_m,100,20,0.29719999999999996,0.023701344898549522,10.8,1.2
stepwise,100,50,0.1368,0.046537726631196756,20.6,9.0598013223249
uniform_all,100,50,0.10640000000000002,0.037829089336118046,20.6,9.0598013223249
random_m,100,50,0.20240000000000002,0.05022668613396668,20.6,9.0598013223249
stepwise,100,80,0.144,0.07787168933572713,7.04,2.9186298155127517
uniform_all,100,80,0.11399999999999999,0.0656048778674269,7.04,2.9186298155127517
random_m,100,80,0.24209999999999998,0.042916663430420596,7.04,2.9186298155127517
stepwise,200,10,0.3595555555555556,0.08725611514174596,4.28,1.4565713164826501
uniform_all,200,10,0.20844444444444446,0.10141127606721181,4.28,1.4565713164826501
random_m,200,10,0.36948888888888887,0.03056622843904124,4.28,1.4565713164826501
stepwise,200,20,0.2705,0.0836570379585603,10.68,1.377534028617805
uniform_all,200,20,0.1655,0.05282991576748916,10.68,1.377534028617805
random_m,200,20,0.291825,0.027737001460143452,10.68,1.377534028617805
stepwise,200,50,0.1456,0.05107484703843958,26.44,1.1689311356961967
uniform_all,200,50,0.1152,0.029545896500191023,26.44,1.1689311356961967
random_m,200,50,0.17372000000000004,0.024158675460380682,26.44,1.1689311356961967
stepwise,200,80,0.146,0.052763623833091675,38.68,9.615487507141799
uniform_all,200,80,0.12200000000000001,0.061773780845922,38.68,9.615487507141799
random_m,200,80,0.1587,0.04926520069988552,38.68,9.615487507141799
