n_train,m,selector,mean_error,std_error
20,2,uniform,0.3079,0.15129636479439948
20,5,uniform,0.215,0.14108508071373102
20,10,uniform,0.1595,0.11732327134886752
20,20,uniform,0.11130000000000001,0.09789438186126924
20,50,uniform,0.1284,0.10404537471699547
20,100,uniform,0.1292,0.09580897661492895
20,2,uniform_signal,0.1504,0.10885697037856602
20,5,uniform_signal,0.0791,0.0833917861662646
20,10,uniform_signal,0.0587,0.06862441256579177
20,20,uniform_signal,0.0684,0.0816298964840701
20,50,uniform_signal,0.08389999999999999,0.09103730004783753
20,100,uniform_signal,0.08969999999999999,0.0881414204559922
20,2,stepwise,0.10010000000000005,0.077736670883181
20,5,stepwise,0.035699999999999996,0.05346503530345789
20,10,stepwise,0.027600000000000003,0.038938926538876234
20,20,stepwise,0.028999999999999998,0.0644903093495449
20,50,stepwise,0.0673,0.09065158575557297
20,100,stepwise,0.1278,0.10028539275487733
20,2,backward,0.09140000000000002,0.07100732356595339
20,5,backward,0.04570000000000001,0.06874961818075792
20,10,backward,0.035699999999999996,0.05872401553027518
20,20,backward,0.0332,0.053383143406884534
20,50,backward,0.05549999999999999,0.07463745708422817
20,100,backward,0.10910000000000002,0.07718931273175063
20,2,bidirectional,0.10010000000000005,0.077736670883181
20,5,bidirectional,0.05859999999999999,0.06887699180423025
20,10,bidirectional,0.0803,0.10426365617989808
20,20,bidirectional,0.08370000000000001,0.08975137881949223
20,50,bidirectional,0.1029,0.10416616533212691
20,100,bidirectional,0.13980000000000004,0.08867897157725724
80,2,uniform,0.23149999999999998,0.15943729174819798
80,5,uniform,0.12325000000000001,0.11539361984096
80,10,uniform,0.07350000000000001,0.08666169857555298
80,20,uniform,0.027000000000000003,0.04632493928760188
80,50,uniform,0.007000000000000001,0.015842979517754863
80,100,uniform,0.017750000000000002,0.027224758952100934
80,2,uniform_signal,0.0765,0.09803188256888674
80,5,uniform_signal,0.02725,0.04611060073345391
80,10,uniform_signal,0.008,0.01653783540854123
80,20,uniform_signal,0.00425,0.011755317945508745
80,50,uniform_signal,0.006999999999999999,0.022383029285599394
80,100,uniform_signal,0.005,0.013693063937629153
80,2,stepwise,0.069,0.038262252939417984
80,5,stepwise,0.0115,0.021041625412500816
80,10,stepwise,0.007000000000000001,0.01906567596493762
80,20,stepwise,0.006000000000000001,0.016248076809271924
80,50,stepwise,0.00825,0.016603839917320333
80,100,stepwise,0.00825,0.018046814123273948
80,2,backward,0.049249999999999995,0.05878509590023648
80,5,backward,0.01375,0.026780356607035694
80,10,backward,0.0035000000000000005,0.0093674969975976
80,20,backward,0.00425,0.011755317945508749
80,50,backward,0.0022500000000000003,0.00941740410091868
80,100,backward,0.01,0.020000000000000007
80,2,bidirectional,0.069,0.038262252939417984
80,5,bidirectional,0.01075,0.02099255820523073
80,10,bidirectional,0.0055000000000000005,0.015239750654128168
80,20,bidirectional,0.004750000000000001,0.012090802289343746
80,50,bidirectional,0.010249999999999999,0.016618889854620254
80,100,bidirectional,0.009000000000000001,0.015620499351813309
