pool_size,m_selected
10,3
10,3
10,2
10,1
10,0
10,2
10,5
10,4
10,2
10,1
10,2
10,2
10,3
10,3
10,2
10,1
10,3
10,3
10,3
10,3
10,3
10,4
10,1
10,5
10,2
20,3
20,4
20,7
20,5
20,1
20,5
20,3
20,5
20,3
20,2
20,5
20,5
20,2
20,4
20,4
20,3
20,4
20,3
20,3
20,5
20,3
20,4
20,5
20,5
20,3
50,25
50,9
50,6
50,11
50,10
50,27
50,25
50,6
50,25
50,8
50,2
50,8
50,25
50,5
50,2
50,25
50,25
50,10
50,4
50,10
50,25
50,6
50,25
50,6
50,7
100,27
100,25
100,27
100,25
100,25
100,27
100,28
100,25
100,26
100,25
100,25
100,25
100,26
100,25
100,26
100,25
100,25
100,26
100,25
100,26
100,25
100,26
100,25
100,27
100,25
200,25
200,26
200,25
200,25
200,25
200,25
200,25
200,26
200,25
200,25
200,26
200,25
200,25
200,25
200,25
200,25
200,25
200,25
200,25
200,25
200,27
200,28
200,25
200,25
200,26
