d_pca,m,selector,mean_error,std_error
2,2,pca_d2,0.0105,0.026500000000000003
2,5,pca_d2,0.0085,0.024804233509624924
2,10,pca_d2,0.009000000000000001,0.025377155080899043
2,20,pca_d2,0.010499999999999999,0.02961840643923977
2,50,pca_d2,0.0055,0.02563688748658854
2,100,pca_d2,0.0,0.0
8,2,pca_d8,0.0315,0.031148836254345044
8,5,pca_d8,0.021500000000000005,0.02646223724479848
8,10,pca_d8,0.018000000000000002,0.029597297173897488
8,20,pca_d8,0.012000000000000002,0.024103941586387904
8,50,pca_d8,0.001,0.004898979485566357
8,100,pca_d8,0.0,0.0
32,2,pca_d32,0.0275,0.029261749776799063
32,5,pca_d32,0.036,0.037802116342871596
32,10,pca_d32,0.024499999999999997,0.037579914848227106
32,20,pca_d32,0.0125,0.025124689052802223
32,50,pca_d32,0.0025,0.010307764064044152
32,100,pca_d32,0.0005,0.0035000000000000005
128,2,pca_d128,0.195,0.12678722333105968
128,5,pca_d128,0.11750000000000002,0.09864709828474429
128,10,pca_d128,0.0855,0.08032589868778313
128,20,pca_d128,0.0395,0.048499999999999995
128,50,pca_d128,0.0155,0.02173131381210073
128,100,pca_d128,0.0025,0.009013878188659974
768,2,pca_d768,0.19,0.14133294025102572
768,5,pca_d768,0.11800000000000001,0.10954907576059233
768,10,pca_d768,0.05850000000000002,0.0655
768,20,pca_d768,0.045,0.052678268764263694
768,50,pca_d768,0.021999999999999992,0.019773719933285187
768,100,pca_d768,0.002,0.010999999999999998
0,2,uniform,0.22950000000000004,0.1692402138972886
0,5,uniform,0.12149999999999998,0.12379519376777112
0,10,uniform,0.06699999999999999,0.09171150418567998
0,20,uniform,0.022,0.04319722213291035
0,50,uniform,0.0005,0.0035000000000000005
0,100,uniform,0.0015,0.010499999999999997
