n_train,m,selector,mean_error,std_error
20,2,uniform,0.338375,0.12047114540420042
20,5,uniform,0.30775,0.10196169623932314
20,10,uniform,0.20162499999999997,0.10304208788160303
20,20,uniform,0.13124999999999998,0.08679177668419974
20,50,uniform,0.053125,0.04501301895007709
20,100,uniform,0.028000000000000008,0.030162062263711348
20,2,uniform_signal,0.31625,0.12424144839786762
20,5,uniform_signal,0.25037499999999996,0.10864873158486481
20,10,uniform_signal,0.15949999999999998,0.08921743103228201
20,20,uniform_signal,0.09737499999999999,0.06442764837397062
20,50,uniform_signal,0.055249999999999994,0.06225401593471702
20,100,uniform_signal,0.05149999999999998,0.06119334114100977
20,2,stepwise,0.19262500000000002,0.09519872307441943
20,5,stepwise,0.112375,0.0538950078857031
20,10,stepwise,0.08037500000000002,0.045320214860479206
20,20,stepwise,0.0405,0.03152974785817356
20,50,stepwise,0.0265,0.03317943640268774
20,100,stepwise,0.024000000000000004,0.03281958256894807
20,2,backward,0.16112500000000002,0.07520586330200592
20,5,backward,0.10762500000000001,0.046900659643548726
20,10,backward,0.07100000000000001,0.04619523784980439
20,20,backward,0.04375,0.0429934588047996
20,50,backward,0.02625,0.03189337705543268
20,100,backward,0.023000000000000003,0.03338787204959309
20,2,bidirectional,0.19262500000000002,0.09519872307441943
20,5,bidirectional,0.115875,0.05135218471496612
20,10,bidirectional,0.081125,0.046552893304283464
20,20,bidirectional,0.06225000000000001,0.0403879623155217
20,50,bidirectional,0.027625,0.02841077040490103
20,100,bidirectional,0.023875,0.028344697475894846
80,2,uniform,0.27699999999999997,0.1430769023986751
80,5,uniform,0.20750000000000005,0.1306474263045392
80,10,uniform,0.15099999999999997,0.10099009852455836
80,20,uniform,0.07450000000000001,0.07632004979034014
80,50,uniform,0.0215,0.03335790760824186
80,100,uniform,0.0025,0.010897247358851683
80,2,uniform_signal,0.23050000000000007,0.1392650350949584
80,5,uniform_signal,0.13949999999999999,0.11582206180171375
80,10,uniform_signal,0.0845,0.06953236656406857
80,20,uniform_signal,0.0345,0.04620335485654694
80,50,uniform_signal,0.007000000000000002,0.03163858403911274
80,100,uniform_signal,0.0055000000000000005,0.030736785778607358
80,2,stepwise,0.10950000000000001,0.06312487623750244
80,5,stepwise,0.0435,0.046181706334868136
80,10,stepwise,0.033499999999999995,0.03745330426010501
80,20,stepwise,0.0065000000000000014,0.019563997546513855
80,50,stepwise,0.0005,0.004974937185533097
80,100,stepwise,0.0,0.0
80,2,backward,0.076,0.06688796603276258
80,5,backward,0.0355,0.03625948151863178
80,10,backward,0.02,0.027386127875258303
80,20,backward,0.0025,0.010897247358851683
80,50,backward,0.0,0.0
80,100,backward,0.0,0.0
80,2,bidirectional,0.10950000000000001,0.06312487623750244
80,5,bidirectional,0.04499999999999999,0.047169905660283014
80,10,bidirectional,0.035500000000000004,0.040183952020676116
80,20,bidirectional,0.019500000000000003,0.030736785778607365
80,50,bidirectional,0.0015000000000000002,0.008529361054615991
80,100,bidirectional,0.0005,0.004974937185533097
