pool_size,m_selected
10,0
10,2
10,0
10,1
10,0
10,0
10,0
10,0
10,0
10,3
10,0
10,0
10,3
10,0
10,2
10,3
10,2
10,1
10,1
10,0
10,0
10,0
10,3
10,1
10,2
20,2
20,1
20,1
20,3
20,3
20,2
20,3
20,1
20,4
20,4
20,0
20,2
20,0
20,1
20,3
20,5
20,1
20,1
20,0
20,2
20,2
20,0
20,3
20,0
20,0
50,27
50,26
50,8
50,26
50,9
50,6
50,4
50,25
50,5
50,2
50,7
50,26
50,7
50,9
50,6
50,12
50,5
50,9
50,12
50,3
50,6
50,26
50,5
50,5
50,26
100,4
100,25
100,25
100,5
100,26
100,25
100,26
100,25
100,26
100,26
100,25
100,26
100,26
100,25
100,27
100,26
100,25
100,25
100,27
100,26
100,26
100,25
100,26
100,26
100,7
200,25
200,25
200,25
200,25
200,25
200,27
200,25
200,27
200,25
200,25
200,27
200,25
200,25
200,25
200,27
200,25
200,26
200,27
200,25
200,28
200,25
200,25
200,25
200,26
200,27
