pool_size,m_selected,error_stepwise,error_uniform,error_random_m
10,0,0.5,0.5,0.5
10,2,0.34,0.46,0.3
10,0,0.5,0.5,0.5
10,1,0.12,0.24,0.28
10,0,0.5,0.5,0.5
10,0,0.5,0.5,0.5
10,0,0.5,0.5,0.5
10,0,0.5,0.5,0.5
10,0,0.5,0.5,0.5
10,3,0.28,0.28,0.48
10,0,0.5,0.5,0.5
10,0,0.5,0.5,0.5
10,3,0.38,0.24,0.3
10,0,0.5,0.5,0.5
10,2,0.24,0.1,0.12
10,3,0.28,0.34,0.24
10,2,0.26,0.28,0.34
10,1,0.18,0.36,0.4
10,1,0.18,0.12,0.14
10,0,0.5,0.5,0.5
10,0,0.5,0.5,0.5
10,0,0.5,0.5,0.5
10,3,0.22,0.2,0.34
10,1,0.26,0.26,0.32
10,2,0.2,0.34,0.34
20,2,0.24,0.12,0.32
20,1,0.22,0.16,0.38
20,1,0.32,0.16,0.42
20,3,0.36,0.34,0.38
20,3,0.2,0.12,0.42
20,2,0.3,0.06,0.36
20,3,0.0,0.2,0.24
20,1,0.44,0.24,0.24
20,4,0.18,0.22,0.46
20,4,0.42,0.22,0.18
20,0,0.5,0.5,0.5
20,2,0.2,0.14,0.26
20,0,0.5,0.5,0.5
20,1,0.14,0.02,0.14
20,3,0.08,0.18,0.28
20,5,0.22,0.16,0.14
20,1,0.16,0.12,0.5
20,1,0.2,0.14,0.2
20,0,0.5,0.5,0.5
20,2,0.12,0.14,0.38
20,2,0.16,0.18,0.4
20,0,0.5,0.5,0.5
20,3,0.16,0.16,0.18
20,0,0.5,0.5,0.5
20,0,0.5,0.5,0.5
50,27,0.12,0.04,0.12
50,26,0.24,0.26,0.16
50,8,0.06,0.12,0.26
50,26,0.1,0.1,0.2
50,9,0.18,0.22,0.26
50,6,0.12,0.22,0.4
50,4,0.22,0.22,0.4
50,25,0.14,0.14,0.04
50,5,0.1,0.14,0.26
50,2,0.32,0.1,0.48
50,7,0.2,0.14,0.32
50,26,0.0,0.12,0.06
50,7,0.12,0.12,0.3
50,9,0.04,0.12,0.2
50,6,0.12,0.1,0.24
50,12,0.26,0.18,0.24
50,5,0.18,0.1,0.34
50,9,0.26,0.2,0.34
50,12,0.42,0.14,0.26
50,3,0.16,0.28,0.34
50,6,0.08,0.34,0.36
50,26,0.14,0.08,0.14
50,5,0.08,0.12,0.54
50,5,0.02,0.14,0.08
50,26,0.02,0.14,0.12
100,4,0.18,0.16,0.18
100,25,0.18,0.16,0.2
100,25,0.12,0.22,0.04
100,5,0.26,0.3,0.26
100,26,0.04,0.16,0.18
100,25,0.18,0.18,0.22
100,26,0.16,0.12,0.14
100,25,0.02,0.14,0.12
100,26,0.08,0.12,0.2
100,26,0.2,0.1,0.16
100,25,0.06,0.16,0.14
100,26,0.22,0.14,0.18
100,26,0.02,0.08,0.04
100,25,0.14,0.1,0.24
100,27,0.16,0.08,0.12
100,26,0.18,0.04,0.22
100,25,0.22,0.12,0.14
100,25,0.2,0.14,0.32
100,27,0.12,0.1,0.24
100,26,0.22,0.12,0.16
100,26,0.2,0.16,0.36
100,25,0.1,0.16,0.12
100,26,0.14,0.1,0.18
100,26,0.18,0.06,0.04
100,7,0.08,0.16,0.3
200,25,0.12,0.08,0.06
200,25,0.12,0.2,0.24
200,25,0.12,0.12,0.18
200,25,0.04,0.1,0.06
200,25,0.12,0.16,0.16
200,27,0.1,0.08,0.1
200,25,0.18,0.12,0.2
200,27,0.0,0.1,0.12
200,25,0.16,0.08,0.02
200,25,0.12,0.14,0.24
200,27,0.24,0.16,0.32
200,25,0.16,0.06,0.1
200,25,0.16,0.18,0.22
200,25,0.24,0.1,0.14
200,27,0.14,0.12,0.24
200,25,0.1,0.08,0.26
200,26,0.1,0.1,0.22
200,27,0.12,0.12,0.12
200,25,0.3,0.12,0.1
200,28,0.16,0.18,0.22
200,25,0.08,0.14,0.18
200,25,0.08,0.18,0.16
200,25,0.04,0.2,0.1
200,26,0.08,0.1,0.14
200,27,0.14,0.24,0.22
