d_pca,m,selector,mean_error,std_error
2,2,pca_d2,0.10800000000000001,0.06508456038109192
2,5,pca_d2,0.105,0.058523499553598125
2,10,pca_d2,0.102,0.06554387843269575
2,20,pca_d2,0.105,0.07697402159170326
2,50,pca_d2,0.10700000000000001,0.08307225770376052
2,100,pca_d2,0.11900000000000001,0.06992138442565336
8,2,pca_d8,0.128,0.07291090453423273
8,5,pca_d8,0.153,0.09022749026765622
8,10,pca_d8,0.14700000000000002,0.10266937225872183
8,20,pca_d8,0.128,0.104
8,50,pca_d8,0.11699999999999999,0.06527633568147036
8,100,pca_d8,0.12300000000000001,0.07362744053679987
32,2,pca_d32,0.145,0.11191514642799695
32,5,pca_d32,0.162,0.09724196624914574
32,10,pca_d32,0.157,0.09695875411740809
32,20,pca_d32,0.155,0.06946221994724902
32,50,pca_d32,0.121,0.05664803615307419
32,100,pca_d32,0.11900000000000001,0.067
128,2,pca_d128,0.282,0.13143819840518203
128,5,pca_d128,0.23500000000000004,0.11191514642799696
128,10,pca_d128,0.204,0.08991106717195609
128,20,pca_d128,0.16399999999999998,0.07683749084919418
128,50,pca_d128,0.113,0.07470609078247904
128,100,pca_d128,0.084,0.06199999999999999
768,2,pca_d768,0.311,0.16470883400716552
768,5,pca_d768,0.239,0.11545128842936316
768,10,pca_d768,0.17200000000000004,0.09703607576566563
768,20,pca_d768,0.15499999999999997,0.0873212459828649
768,50,pca_d768,0.114,0.07002856560004639
768,100,pca_d768,0.074,0.05219195340279956
0,2,uniform,0.337,0.12759702190882044
0,5,uniform,0.29000000000000004,0.12961481396815722
0,10,uniform,0.223,0.12337341690980273
0,20,uniform,0.188,0.08692525524840292
0,50,uniform,0.14700000000000002,0.08509406559801924
0,100,uniform,0.118,0.07467261881037787
